"Horntown","Hughes County","Oklahoma",95,97,61,0,0,0,0,0,0,0,0,0,0,0
"Howe","Le Flore County","Oklahoma",795,802,697,510,562,403,390,486,640,692,711,538,626,0
"Hugo","Choctaw County","Oklahoma",5287,5310,5536,5978,7172,6585,6287,5984,5909,5272,6368,4582,0,0
"Hulbert","Cherokee County","Oklahoma",601,590,543,499,633,505,0,0,0,0,0,0,0,0
"Hunter","Garfield County","Oklahoma",172,165,173,218,276,274,203,279,291,336,443,341,0,0
"Hydro","Caddo County","Oklahoma",962,969,1060,977,938,805,697,714,759,948,686,562,0,0
"Idabel","McCurtain County","Oklahoma",7010,7010,6952,6957,7622,5946,4967,4671,3689,2581,3067,1493,0,0
"Indiahoma","Comanche County","Oklahoma",343,344,374,337,364,434,378,319,337,288,195,188,0,0
"Indianola","Pittsburg County","Oklahoma",156,162,191,171,254,205,234,314,311,378,415,481,0,0
"Inola","Rogers County","Oklahoma",1824,1788,1589,1444,1550,948,584,294,395,398,498,405,0,0
"IXL","Okfuskee County","Oklahoma",51,51,0,0,0,0,0,0,0,0,0,0,0,0
"Jay","Delaware County","Oklahoma",2472,2448,2482,2220,2100,1594,1120,697,741,0,0,0,0,0
