"Freeport","Barry County","Michigan",483,483,444,458,479,501,495,452,405,388,398,460,0,0,166,0,0,0,0,0,0
"Free Soil","Mason County","Michigan",145,144,177,148,212,186,209,208,236,239,210,0,0,306,0,0,0,0,0,0,0
"Fremont","Newaygo County","Michigan",4034,4081,4224,3875,3672,3465,3384,3056,2520,2157,2180,2009,1331,1097,902,0,0,0,0,0,0
"Fruitport","Muskegon County","Michigan",1104,1093,1124,1090,1143,1409,1037,638,458,379,321,330,311,0,353,0,0,0,0,0,0
"Gaastra","Iron County","Michigan",333,347,339,376,404,479,582,575,773,755,911,0,0,0,0,0,0,0,0,0,0
"Gagetown","Tuscola County","Michigan",380,388,389,337,428,408,376,401,354,368,440,358,329,237,0,0,0,0,0,0,0
"Gaines","Genesee County","Michigan",371,380,366,427,440,408,387,352,268,250,260,238,240,304,344,0,0,0,0,0,0
"Galesburg","Kalamazoo County","Michigan",2039,2009,1988,1863,1822,1355,1410,1200,1040,936,692,656,689,702,0,140,0,0,0,0,0
"Galien","Berrien County","Michigan",536,549,593,596,692,691,750,610,567,488,460,405,440,492,413,0,0,0,0,0,0
"Garden","Delta County","Michigan",218,221,240,268,296,336,380,399,462,371,395,497,465,458,0,0,0,0,0,0,0
"Garden City","Wayne County","Michigan",27052,27692,30047,31846,35640,41864,38017,9012,4096,2081,0,0,0,0,0,0,0,0,0,0,0
"Gaylord","Otsego County","Michigan",3648,3645,3681,3256,3011,3012,2568,2271,2055,1627,1701,1538,1561,661,292,0,0,0,0,0,0
"Gibraltar","Wayne County","Michigan",4547,4656,4264,4297,4458,3842,2196,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gladstone","Delta County","Michigan",4868,4973,5032,4565,4533,5237,5267,4831,4972,5170,4953,4211,3380,1337,0,0,0,0,0,0,0
"Gladwin","Gladwin County","Michigan",2908,2933,3001,2682,2479,2071,2226,1878,1600,1248,1225,988,775,903,0,0,0,0,0,0,0
"Gobles","Van Buren County","Michigan",811,829,815,769,816,801,816,622,616,519,491,537,505,0,181,0,0,0,0,0,0
"Goodrich","Genesee County","Michigan",1831,1860,1353,916,795,774,701,0,0,0,0,0,0,0,235,0,0,0,0,0,0
"Grand Beach","Berrien County","Michigan",272,272,221,146,227,165,86,105,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grand Blanc","Genesee County","Michigan",8033,8276,8242,7760,6848,5132,1565,998,1012,917,0,0,0,0,216,0,0,0,0,0,0
"Grand Haven","Ottawa County","Michigan",10965,10412,11168,11951,11763,11844,11066,9536,8799,8345,7205,5856,4743,5023,4862,3147,0,0,0,0,0
"Grand Ledge","Eaton County","Michigan",7792,7786,7813,7579,6920,6032,5165,4506,3899,3572,3043,2893,2161,1606,1387,0,0,0,0,0,0
"Grand Rapids","Kent County","Michigan",193792,188040,197800,189126,181843,197649,177313,176515,164292,168592,137634,112571,87565,60278,32016,16507,8085,2686,0,0,0
"Grandville","Kent County","Michigan",15857,15378,16263,15624,12412,10764,7975,2022,1566,1346,799,680,457,0,548,0,0,0,0,0,0
"Grant","Newaygo County","Michigan",881,894,881,764,683,772,732,646,552,483,473,428,214,0,90,0,0,0,0,0,0
"Grass Lake","Jackson County","Michigan",1168,1173,1082,903,962,1061,1037,878,810,804,744,760,648,617,682,0,479,0,0,0,0
"Grayling","Crawford County","Michigan",1838,1884,1952,1944,1792,2143,2015,2066,2124,1973,2450,1775,0,0,0,0,0,0,0,0,0
"Greenville","Montcalm County","Michigan",8431,8481,7935,8101,8019,7493,7440,6668,5321,4730,4304,4045,3381,3056,3144,1807,398,0,0,0,0
"Grosse Pointe","Wayne County","Michigan",5262,5421,5670,5681,5901,6637,6631,6283,6179,5173,2084,830,343,298,189,0,0,0,0,0,0
