"Hudson","town","Hillsborough County","New Hampshire",24911,24467,22928,19530,14022,10638,5876,4183,3409,2702,1954,1344,1261,1092,1045,1066,1222,1312,1144,1282,0,0,0,0
"Litchfield","town","Hillsborough County","New Hampshire",8448,8271,7360,5516,4150,1420,721,427,341,286,213,255,243,252,291,345,352,447,481,505,465,382,372,357
"Lyndeborough","town","Hillsborough County","New Hampshire",1703,1683,1585,1294,1070,789,594,552,452,399,428,660,686,657,818,820,823,968,1033,1147,1168,1074,976,1280
"Manchester","town","Hillsborough County","New Hampshire",110229,109565,107006,99567,90936,87754,88282,82732,77685,76834,78384,70063,56987,44126,32630,23536,20107,13932,3235,877,761,615,557,362
"Mason","town","Hillsborough County","New Hampshire",1409,1382,1147,1212,792,518,349,288,249,254,278,325,459,629,645,1364,1559,1626,1275,1403,1313,1077,1179,922
"Merrimack","town","Hillsborough County","New Hampshire",25648,25494,25119,22156,15406,8595,2989,1908,1253,1084,1022,1039,1234,951,1042,1066,1119,1250,1113,1191,1162,1048,926,819
"Milford","town","Hillsborough County","New Hampshire",15284,15115,13535,11795,8685,6622,4863,4159,3927,4068,3783,3939,3739,3014,2308,2606,2223,2159,1455,1303,1243,1117,939,0
"Mont Vernon","town","Hillsborough County","New Hampshire",2472,2409,2034,1812,1444,906,585,405,340,302,308,413,453,479,517,601,725,722,720,763,729,762,680,0
"Nashua","town","Hillsborough County","New Hampshire",87970,86494,86605,79662,67865,55820,39096,34669,32927,31463,28379,26005,23898,19311,13397,10543,10065,5820,3600,0,0,0,0,0
"New Boston","town","Hillsborough County","New Hampshire",5491,5321,4138,3214,1928,1390,925,865,773,693,768,982,1002,1067,1144,1241,1369,1477,1570,1680,1686,1619,1491,1202
"New Ipswich","town","Hillsborough County","New Hampshire",5194,5099,4289,4014,2433,1803,1455,1147,940,838,869,927,911,969,1222,1380,1701,1877,1578,1673,1278,1895,1266,1241
"Pelham","town","Hillsborough County","New Hampshire",13303,12897,10914,9408,8090,5408,2605,1317,979,814,974,826,875,791,848,861,944,1071,1003,1078,1040,998,918,791
"Peterborough","town","Hillsborough County","New Hampshire",6438,6284,5883,5239,4895,3807,2963,2556,2470,2521,2615,2277,2527,2507,2206,2236,2265,2222,2163,1984,1500,1537,1333,861
"Sharon","town","Hillsborough County","New Hampshire",363,352,360,299,184,136,78,62,61,38,21,71,122,137,203,182,250,226,251,271,391,446,428,259
"Temple","town","Hillsborough County","New Hampshire",1389,1366,1297,1194,692,441,361,330,258,239,263,284,313,342,492,421,501,579,576,647,752,941,867,747
"Weare","town","Hillsborough County","New Hampshire",8913,8785,7776,6193,3232,1851,1420,1345,1367,1287,1173,1325,1553,1550,1829,2092,2310,2435,2375,2430,2781,2634,2517,1924
"Wilton","town","Hillsborough County","New Hampshire",3690,3677,3743,3122,2669,2276,2025,1952,1855,1724,1546,1490,1696,1850,1747,1974,1369,1161,1033,1041,1070,1017,1010,1105
"Windsor","town","Hillsborough County","New Hampshire",240,224,201,107,72,43,35,27,29,22,21,24,38,62,420,81,136,172,177,226,237,238,249,120
"Allenstown","town","Merrimack County","New Hampshire",4285,4322,4843,4649,4398,2732,1789,1540,1673,1549,1213,1457,1496,1475,1707,804,414,526,455,421,433,346,315,254
"Andover","town","Merrimack County","New Hampshire",2362,2371,2109,1883,1587,1138,955,1057,1108,1031,1121,1201,1179,1090,1204,1206,1243,1220,1169,1324,1642,1259,1133,645
"Boscawen","town","Merrimack County","New Hampshire",3952,3965,3672,3586,3435,3162,2181,1857,1663,1359,1260,1240,1455,1487,1381,1637,2274,2063,1965,2093,2113,1829,1414,1108
"Bow","town","Merrimack County","New Hampshire",7734,7519,7138,5500,4015,2479,1340,1062,942,780,568,676,617,725,734,745,909,1055,1001,1065,935,729,719,568
"Bradford","town","Merrimack County","New Hampshire",1661,1650,1454,1405,1115,679,508,606,661,587,580,695,805,810,950,1081,1180,1341,1331,1285,1318,1034,740,217
"Canterbury","town","Merrimack County","New Hampshire",2393,2352,1979,1687,1410,895,674,627,659,505,655,680,821,964,1033,1169,1522,1614,1643,1663,1696,1526,1114,1038
"Chichester","town","Merrimack County","New Hampshire",2591,2523,2236,1942,1492,1083,821,735,587,567,507,606,598,661,784,871,1041,997,1028,1084,1010,951,775,491
