"Hindsville","Madison County",61,61,75,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Holland","Faulkner County",549,557,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Holly Grove","Monroe County",561,602,722,675,754,840,672,761,755,741,977,536,391,353,161,0,0,0
"Hope","Hempstead County",10004,10095,10616,9643,10290,8830,8399,8605,7475,6008,4790,3639,1644,1937,1233,0,0,0
"Horatio","Sevier County",1070,1044,997,793,989,852,722,776,809,1028,1038,605,625,0,0,0,0,0
"Horseshoe Bend","Izard County",2108,2184,2278,2239,1909,321,0,0,0,0,0,0,0,0,0,0,0,0
"Horseshoe Lake","Crittenden County",282,292,321,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hot Springs","Garland County",35673,35193,35750,32462,35781,35631,28337,29307,21370,20238,11695,14434,9973,8086,3554,0,0,0
"Houston","Perry County",170,173,159,149,183,200,206,291,287,345,403,0,0,0,0,0,0,0
"Hoxie","Lawrence County",2710,2780,2817,2676,2961,2265,1886,1855,1466,1448,1711,915,125,102,0,0,0,0
"Hughes","St. Francis County",1341,1441,1867,1810,1919,1872,196,1686,1004,815,451,0,0,0,0,0,0,0
"Humnoke","Lonoke County",283,284,280,311,442,398,319,263,0,0,0,0,0,0,0,0,0,0
"Humphrey","Split (Arkansas/Jefferson)",530,557,806,743,872,818,649,629,595,595,554,380,0,0,0,0,0,0
"Hunter","Woodruff County",100,105,152,137,170,131,202,286,335,293,343,508,0,0,0,0,0,0
"Huntington","Sebastian County",625,635,688,715,662,627,560,744,863,813,1453,1700,1298,913,0,0,0,0
"Huntsville","Madison County",2378,2346,1931,1605,1394,1287,1050,1010,776,602,0,0,0,362,312,224,251,255
"Huttig","Union County",568,597,731,831,976,822,936,1038,1379,1386,1261,1240,0,0,0,0,0,0
"Imboden","Lawrence County",650,677,684,616,661,496,400,447,525,564,630,600,411,157,0,0,0,0
"Jacksonport","Jackson County",207,212,235,264,288,306,0,0,215,196,0,373,265,421,656,769,0,0
"Jacksonville","Pulaski County",28808,28364,29916,29101,27589,19832,14488,2474,0,0,0,0,0,0,0,0,0,0
"Jasper","Newton County",447,466,498,332,519,394,316,407,412,385,253,242,0,0,91,0,0,0
"Jennette","Crittenden County",111,115,124,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jericho","Crittenden County",115,119,184,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jerome","Drew County",39,39,46,47,54,76,76,82,112,97,391,0,0,0,0,0,0,0
"Johnson","Washington County",3601,3354,2319,599,519,274,0,0,0,0,0,0,0,0,0,0,0,0
"Joiner","Mississippi County",546,576,540,645,725,839,748,596,388,306,0,0,0,0,0,0,0,0
"Jonesboro","Craighead County",72210,67263,55515,46535,31530,27050,21418,16310,11729,10326,9384,7123,4508,2065,0,0,0,0
"Judsonia","White County",2019,2019,1982,1915,2025,1667,977,1122,1011,1123,899,746,600,475,267,0,0,0
"Junction City","Union County",552,581,721,674,813,763,749,1013,797,814,653,1065,1251,0,0,0,0,0
"Keiser","Mississippi County",715,759,808,805,962,688,516,522,452,0,0,0,0,0,0,0,0,0
"Kensett","White County",1647,1648,1791,1741,1751,1444,905,829,827,889,480,0,0,0,86,0,0,0
"Keo","Lonoke County",261,256,235,154,208,226,237,200,253,267,325,175,0,0,0,0,0,0
"Kibler","Crawford County",944,961,969,931,798,611,0,0,0,0,0,0,0,0,0,0,0,0
"Kingsland","Cleveland County",428,447,449,395,320,304,249,337,473,328,397,445,364,464,0,0,0,0
"Knobel","Clay County",269,287,358,317,503,375,339,417,375,486,390,362,410,0,0,0,0,0
"Knoxville","Johnson County",742,731,511,239,264,202,0,0,0,0,0,0,0,0,0,0,0,0
"Lafe","Greene County",460,458,385,315,215,0,0,0,0,0,0,0,0,0,0,0,0,0
"LaGrange","Lee County",83,89,122,108,0,0,0,0,0,0,0,0,0,216,153,0,0,0
"Lake City","Craighead County",2253,2082,1956,1833,1842,948,850,783,786,760,635,448,434,0,0,0,0,0
"Lake View","Phillips County",404,443,531,526,609,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lake Village","Chicot County",2447,2575,2823,2791,3088,3310,2998,2484,2045,1582,1449,1074,0,0,0,0,0,0
"Lakeview","Baxter County",722,741,763,485,512,0,103,0,0,0,0,0,0,0,0,0,0,0
"Lamar","Johnson County",1658,1605,1415,768,708,589,514,555,474,449,542,520,474,0,0,0,0,0
